========================================================>0.06 % |  10 ms | ExpenseReportInvoiceMapper.findByExpenseReportOIDAndStatusNot:c3b24448-7780-4c45-bb2f-963d2d7a156b,1002
=================================================>0.41 % |  67 ms | ExpenseService.getSimpleByInvoiceOIDs:ArrayList@13cb9a73,InvoiceWithMemberCommand@725f10b8
========================================================>0.19 % |  31 ms | ExpenseMapper.getSimpleByInvoiceOIDs:ArrayList@13cb9a73
========================================================>0.21 % |  35 ms | ExpenseTypeServiceImpl.selectBaseById:1798626251100164172
===============================================================>0.21 % |  35 ms | ExpenseTypeMpMapper.selectOneById:1798626251100164172
=================================================>0.06 % |  10 ms | PrintFreeConfigServiceImpl.isSuitablePrintFreeConfig:ExpenseReport@5343de3a
========================================================>0.06 % |  10 ms | PrintFreeConfigMapper.selectPrintFreeConfigByTenantId:1798976097732612098
=================================================>0.08 % |  13 ms | LabelServiceImpl.selectByExpenseReportIDAndLabelTypeWithoutI18n:c3b24448-7780-4c45-bb2f-963d2d7a156b,INVOICE_FREE
========================================================>0.08 % |  13 ms | LabelMapper.selectByExpenseReportIDAndLabelTypeWithoutI18n:c3b24448-7780-4c45-bb2f-963d2d7a156b,INVOICE_FREE
=================================================>0.06 % |  10 ms | LabelServiceImpl.selectByExpenseReportIDAndLabelType:c3b24448-7780-4c45-bb2f-963d2d7a156b,AUTO_AUDIT_FAILED
========================================================>0.06 % |  10 ms | LabelMapper.selectByExpenseReportIDAndLabelType:c3b24448-7780-4c45-bb2f-963d2d7a156b,AUTO_AUDIT_FAILED
=================================================>0.07 % |  11 ms | EntityLabelServiceImpl.selectEntityLabels:31548662,LabelCategory@1281230a,EntityLabelSearchContext@6688f5c6
========================================================>0.07 % |  11 ms | EntityLabelMapper.selectByEntityIdAndCategory:31548662,1
=================================================>0.06 % |  10 ms | EntityLabelServiceImpl.removeEntityLabelBatchWithOriLabelType:ArrayList@55ca8253,LabelType@6c39a243,LabelCategory@1281230a
========================================================>0.06 % |  10 ms | EntityLabelMapper.selectIdsWithOriLabel:ArrayList@55ca8253,1,SingletonList@7626ed04
=================================================>0.23 % |  38 ms | BankCardOverTimeERLabelCalImpl.compute:31548662,LabelProcessPoint@4436d697,LabelCalculatorExtendParam@4ba0eb4f
========================================================>0.17 % |  28 ms | ReportService.selectByReportId:31548662
===============================================================>0.17 % |  28 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@3118a942
======================================================================>0.17 % |  28 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@7cfe5fc9
========================================================>0.06 % |  10 ms | BankTransactionHandlerImpl.selectBankTranCount:c3b24448-7780-4c45-bb2f-963d2d7a156b
===============================================================>0.06 % |  10 ms | BankTransactionMapper.selectBankTranCount:c3b24448-7780-4c45-bb2f-963d2d7a156b
=================================================>0.06 % |  10 ms | EntityLabelServiceImpl.removeEntityLabelBatchWithOriLabelType:ArrayList@724a2f30,LabelType@63187cbc,LabelCategory@1281230a
========================================================>0.06 % |  10 ms | EntityLabelMapper.selectIdsWithOriLabel:ArrayList@724a2f30,1,SingletonList@1d2eb340
